1,YEAR,WINNERS,COUNTRY,RUNNERS-UP
2,1956,REAL MADRID,SPAIN,REIMS
3,1957,REAL MADRID,SPAIN,FIORENTINA
4,1958,REAL MADRID,SPAIN,MILAN
5,1959,REAL MADRID,SPAIN,REIMS
6,1960,REAL MADRID,SPAIN,EINTRACHT FRANKFURT
7,1961,BENFICA,PORTUGAL,BARCELONA
8,1962,BENFICA,PORTUGAL,REAL MADRID
9,1963,MILAN,ITALY,BENFICA
10,1964,INTER MILAN,ITALY,REAL MADRID
11,1965,INTER MILAN,ITALY,BENFICA
12,1966,REAL MADRID,SPAIN,PARTIZAN
13,1967,CELTIC,SCOTLAND,INTER MILAN
14,1968,MANCHESTER UNITED,ENGLAND,BENFICA
15,1969,MILAN,ITALY,AJAX
16,1970,FEYENOORD,NETHERLANDS,CELTIC
17,1971,AJAX,NETHERLANDS,PANATHINAIKOS
18,1972,AJAX,NETHERLANDS,INTER MILAN
19,1973,AJAX,NETHERLANDS,JUVENTUS
20,1974,BAYERN MUNICH,GERMANY,ATLÉTICO MADRID
21,1975,BAYERN MUNICH,GERMANY,LEEDS UNITED
22,1976,BAYERN MUNICH,GERMANY,SAINT-ÉTIENNE
23,1977,LIVERPOOL,ENGLAND,BORUSSIA MÖNCHENGLADBACH
24,1978,LIVERPOOL,ENGLAND,CLUB BRUGGE
25,1979,NOTTINGHAM FOREST,ENGLAND,MALMÖ FF
26,1980,NOTTINGHAM FOREST,ENGLAND,HAMBURGER SV
27,1981,LIVERPOOL,ENGLAND,REAL MADRID
28,1982,ASTON VILLA,ENGLAND,BAYERN MUNICH
29,1983,HAMBURGER SV,GERMANY,JUVENTUS
30,1984,LIVERPOOL,ENGLAND,ROMA
31,1985,JUVENTUS,ITALY,LIVERPOOL
32,1986,STEAUA BUCUREȘTI,ROMANIA,BARCELONA
33,1987,PORTO,PORTUGAL,BAYERN MUNICH
34,1988,PSV EINDHOVEN,NETHERLANDS,BENFICA
35,1989,MILAN,ITALY,STEAUA BUCUREȘTI
36,1990,MILAN,ITALY,BENFICA
37,1991,RED STAR BELGRADE,YUGOSLAVIA,MARSEILLE
38,1992,BARCELONA,SPAIN,SAMPDORIA
39,1993,MARSEILLE,FRANCE,MILAN
40,1994,MILAN,ITALY,BARCELONA
41,1995,AJAX,NETHERLANDS,MILAN
42,1996,JUVENTUS,ITALY,AJAX
43,1997,BORUSSIA DORTMUND,GERMANY,JUVENTUS
44,1998,REAL MADRID,SPAIN,JUVENTUS
45,1999,MANCHESTER UNITED,ENGLAND,BAYERN MUNICH
46,2000,REAL MADRID,SPAIN,VALENCIA
47,2001,BAYERN MUNICH,GERMANY,VALENCIA
48,2002,REAL MADRID,SPAIN,BAYER LEVERKUSEN
49,2003,MILAN,ITALY,JUVENTUS
50,2004,PORTO,PORTUGAL,MONACO
51,2005,LIVERPOOL,ENGLAND,MILAN
52,2006,BARCELONA,SPAIN,ARSENAL
53,2007,MILAN,ITALY,LIVERPOOL
54,2008,MANCHESTER UNITED,ENGLAND,CHELSEA
55,2009,BARCELONA,SPAIN,MANCHESTER UNITED
56,2010,INTER MILAN,ITALY,BAYERN MUNICH
57,2011,BARCELONA,SPAIN,MANCHESTER UNITED
58,2012,CHELSEA,ENGLAND,BAYERN MUNICH
59,2013,BAYERN MUNICH,GERMANY,BORUSSIA DORTMUND
60,2014,REAL MADRID,SPAIN,ATLÉTICO MADRID
61,2015,BARCELONA,SPAIN,JUVENTUS
62,2016,REAL MADRID,SPAIN,ATLÉTICO MADRID
63,2017,REAL MADRID,SPAIN,JUVENTUS
64,2018,REAL MADRID,SPAIN,LIVERPOOL
65,2019,LIVERPOOL,ENGLAND,TOTTENHAM HOTSPUR
66,2020,BAYERN MUNICH,GERMANY,PARIS SAINT-GERMAIN
67,2021,CHELSEA,ENGLAND,MANCHESTER CITY
68,2022,REAL MADRID,SPAIN,LIVERPOOL
69,2023,MANCHESTER CITY,ENGLAND,INTER MILAN
