SLNO,YEAR,WINNERS,COUNTRY,RUNNERS_UP,COUNTRY
1,1956,REAL MADRID,SPAIN,REIMS,FRANCE
2,1957,REAL MADRID,SPAIN,FIORENTINA,ITALY
3,1958,REAL MADRID,SPAIN,MILAN,ITALY
4,1959,REAL MADRID,SPAIN,REIMS,FRANCE
5,1960,REAL MADRID,SPAIN,EINTRACHT FRANKFURT,GERMANY
6,1961,BENFICA,PORTUGAL,BARCELONA,SPAIN
7,1962,BENFICA,PORTUGAL,REAL MADRID,SPAIN
8,1963,MILAN,ITALY,BENFICA,PORTUGAL
9,1964,INTER MILAN,ITALY,REAL MADRID,SPAIN
10,1965,INTER MILAN,ITALY,BENFICA,PORTUGAL
11,1966,REAL MADRID,SPAIN,PARTIZAN,YUGOSLAVIA
12,1967,CELTIC,SCOTLAND,INTER MILAN,ITALY
13,1968,MANCHESTER UNITED,ENGLAND,BENFICA,PORTUGAL
14,1969,MILAN,ITALY,AJAX,NETHERLANDS
15,1970,FEYENOORD,NETHERLANDS,CELTIC,SCOTLAND
16,1971,AJAX,NETHERLANDS,PANATHINAIKOS,GREECE
17,1972,AJAX,NETHERLANDS,INTER MILAN,ITALY
18,1973,AJAX,NETHERLANDS,JUVENTUS,ITALY
19,1974,BAYERN MUNICH,GERMANY,ATLÉTICO MADRID,SPAIN
20,1975,BAYERN MUNICH,GERMANY,LEEDS UNITED,ENGLAND
21,1976,BAYERN MUNICH,GERMANY,SAINT-ÉTIENNE,FRANCE
22,1977,LIVERPOOL,ENGLAND,BORUSSIA MÖNCHENGLADBACH,GERMANY
23,1978,LIVERPOOL,ENGLAND,CLUB BRUGGE,BELGIUM
24,1979,NOTTINGHAM FOREST,ENGLAND,MALMÖ FF,SWEDEN
25,1980,NOTTINGHAM FOREST,ENGLAND,HAMBURGER SV,GERMANY
26,1981,LIVERPOOL,ENGLAND,REAL MADRID,SPAIN
27,1982,ASTON VILLA,ENGLAND,BAYERN MUNICH,GERMANY
28,1983,HAMBURGER SV,GERMANY,JUVENTUS,ITALY
29,1984,LIVERPOOL,ENGLAND,ROMA,ITALY
30,1985,JUVENTUS,ITALY,LIVERPOOL,ENGLAND
31,1986,STEAUA BUCUREȘTI,ROMANIA,BARCELONA,SPAIN
32,1987,PORTO,PORTUGAL,BAYERN MUNICH,GERMANY
33,1988,PSV EINDHOVEN,NETHERLANDS,BENFICA,PORTUGAL
34,1989,MILAN,ITALY,STEAUA BUCUREȘTI,ROMANIA
35,1990,MILAN,ITALY,BENFICA,PORTUGAL
36,1991,RED STAR BELGRADE,YUGOSLAVIA,MARSEILLE,FRANCE
37,1992,BARCELONA,SPAIN,SAMPDORIA,ITALY
38,1993,MARSEILLE,FRANCE,MILAN,ITALY
39,1994,MILAN,ITALY,BARCELONA,SPAIN
40,1995,AJAX,NETHERLANDS,MILAN,ITALY
41,1996,JUVENTUS,ITALY,AJAX,NETHERLANDS
42,1997,BORUSSIA DORTMUND,GERMANY,JUVENTUS,ITALY
43,1998,REAL MADRID,SPAIN,JUVENTUS,ITALY
44,1999,MANCHESTER UNITED,ENGLAND,BAYERN MUNICH,GERMANY
45,2000,REAL MADRID,SPAIN,VALENCIA,SPAIN
46,2001,BAYERN MUNICH,GERMANY,VALENCIA,SPAIN
47,2002,REAL MADRID,SPAIN,BAYER LEVERKUSEN,GERMANY
48,2003,MILAN,ITALY,JUVENTUS,ITALY
49,2004,PORTO,PORTUGAL,MONACO,FRANCE
50,2005,LIVERPOOL,ENGLAND,MILAN,ITALY
51,2006,BARCELONA,SPAIN,ARSENAL,ENGLAND
52,2007,MILAN,ITALY,LIVERPOOL,ENGLAND
53,2008,MANCHESTER UNITED,ENGLAND,CHELSEA,ENGLAND
54,2009,BARCELONA,SPAIN,MANCHESTER UNITED,ENGLAND
55,2010,INTER MILAN,ITALY,BAYERN MUNICH,GERMANY
56,2011,BARCELONA,SPAIN,MANCHESTER UNITED,ENGLAND
57,2012,CHELSEA,ENGLAND,BAYERN MUNICH,GERMANY
58,2013,BAYERN MUNICH,GERMANY,BORUSSIA DORTMUND,GERMANY
59,2014,REAL MADRID,SPAIN,ATLÉTICO MADRID,SPAIN
60,2015,BARCELONA,SPAIN,JUVENTUS,ITALY
61,2016,REAL MADRID,SPAIN,ATLÉTICO MADRID,SPAIN
62,2017,REAL MADRID,SPAIN,JUVENTUS,ITALY
63,2018,REAL MADRID,SPAIN,LIVERPOOL,ENGLAND
64,2019,LIVERPOOL,ENGLAND,TOTTENHAM HOTSPUR,ENGLAND
65,2020,BAYERN MUNICH,GERMANY,PARIS SAINT-GERMAIN,FRANCE
66,2021,CHELSEA,ENGLAND,MANCHESTER CITY,ENGLAND
67,2022,REAL MADRID,SPAIN,LIVERPOOL,ENGLAND
68,2023,MANCHESTER CITY,ENGLAND,INTER MILAN,ITALY
