NO,SCORE,O/NO,OPPOSITION,FORMAT,VENUE,DATE
1,107,OUT,SRI LANKA,ODI,"EDEN GARDENS, KOLKATA",24-12-2009
2,102,NOT OUT,BANGLADESH,ODI,"SHER-E-BANGLA CRICKET STADIUM, DHAKA",11-01-2010
3,118,OUT,AUSTRALIA,ODI,"APCA-VDCA STADIUM, VISAKHAPATNAM",20-10-2010
4,105,OUT,NEW ZEALAND,ODI,"NEHRU STADIUM, GUWAHATI",28-11-2010
5,100,NOT OUT,BANGLADESH,ODI,"SHER-E-BANGLA CRICKET STADIUM, DHAKA",19-02-2011
6,107,OUT,ENGLAND,ODI,"SOPHIA GARDENS, CARDIFF",16-09-2011
7,112,NOT OUT,ENGLAND,ODI,"FEROZ SHAH KOTLA GROUND, DELHI",17-10-2011
8,117,OUT,WEST INDIES,ODI,"APCA-VDCA STADIUM, VISAKHAPATNAM",02-12-2011
9,116,OUT,AUSTRALIA,TEST,"ADELAIDE OVAL, ADELAIDE",24-01-2012
10,133,NOT OUT,SRI LANKA,ODI,"BELLERIVE OVAL, HOBART",28-02-2012
11,108,OUT,SRI LANKA,ODI,"SHER-E-BANGLA CRICKET STADIUM, DHAKA",13-03-2012
12,183,OUT,PAKISTAN,ODI,"SHER-E-BANGLA CRICKET STADIUM, DHAKA",18-03-2012
13,106,OUT,SRI LANKA,ODI,"MRIC STADIUM, HAMBANTOTA",21-07-2012
14,128,NOT OUT,SRI LANKA,ODI,"R. PREMADASA STADIUM, COLOMBO",31-07-2012
15,103,OUT,NEW ZEALAND,TEST,"M. CHINNASWAMY STADIUM, BANGALORE",31-08-2012
16,103,OUT,ENGLAND,TEST,"VIDARBHA CRICKET ASSOCIATION STADIUM, NAGPUR",13-12-2012
17,107,OUT,AUSTRALIA,TEST,"M. A. CHIDAMBARAM STADIUM, CHENNAI",22-02-2013
18,102,OUT,WEST INDIES,ODI,"QUEENS PARK OVAL, PORT OF SPAIN",05-07-2013
19,115,OUT,ZIMBABWE,ODI,"HARARE SPORTS CLUB, HARARE",24-07-2013
20,100,NOT OUT,AUSTRALIA,ODI,"SAWAI MANSINGH STADIUM, JAIPUR",16-10-2013
21,115,NOT OUT,AUSTRALIA,ODI,"VCA STADIUM, NAGPUR",30-10-2013
22,119,OUT,SOUTH AFRICA,TEST,"WANDERERS STADIUM, JOHANNESBURG",18-12-2013
23,123,OUT,NEW ZEALAND,ODI,"MCLEAN PARK, NAPIER",19-01-2014
24,105,NOT OUT,NEW ZEALAND,TEST,"BASIN RESERVE, WELLINGTON",14-02-2014
25,136,OUT,BANGLADESH,ODI,"KHAN SHAHEB OSMAN ALI STADIUM, FATULLAH",26-02-2014
26,127,OUT,WEST INDIES,ODI,"HPCA STADIUM, DHARAMSHALA",17-10-2014
27,139,NOT OUT,SRI LANKA,ODI,"JSCA INTERNATIONAL STADIUM, RANCHI",16-11-2014
28,115,OUT,AUSTRALIA,TEST,"ADELAIDE OVAL, ADELAIDE",09-12-2014
29,141,OUT,AUSTRALIA,TEST,"ADELAIDE OVAL, ADELAIDE",09-12-2014
30,169,OUT,AUSTRALIA,TEST,"MELBOURNE CRICKET GROUND, MELBOURNE",26-12-2014
31,147,OUT,AUSTRALIA,TEST,"SYDNEY CRICKET GROUND, SYDNEY",06-01-2015
32,107,OUT,PAKISTAN,ODI,"ADELAIDE OVAL, ADELAIDE",15-02-2015
33,103,OUT,SRI LANKA,TEST,"GALLE INTERNATIONAL STADIUM, GALLE",12-08-2015
34,138,OUT,SOUTH AFRICA,ODI,"M. A. CHIDAMBARAM STADIUM, CHENNAI",22-10-2015
35,117,OUT,AUSTRALIA,ODI,"MELBOURNE CRICKET GROUND, MELBOURNE",17-01-2016
36,106,OUT,AUSTRALIA,ODI,"MANUKA OVAL, CANBERRA",20-01-2016
37,200,OUT,WEST INDIES,TEST,"SIR VIVIAN RICHARDS STADIUM, NORTH SOUND",21-07-2016
38,211,OUT,NEW ZEALAND,TEST,"HOLKAR STADIUM, INDORE",08-10-2016
39,154,NOT OUT,NEW ZEALAND,ODI,"PUNJAB CRICKET ASSOCIATION IS BINDRA STADIUM, MOHALI",23-10-2016
40,167,OUT,ENGLAND,TEST,"ACA-VDCA CRICKET STADIUM, VISAKHAPATNAM",17-11-2016
41,235,OUT,ENGLAND,TEST,"WANKHEDE STADIUM, MUMBAI",08-12-2016
42,122,OUT,ENGLAND,ODI,"MAHARASHTRA CRICKET ASSOCIATION STADIUM, PUNE",15-01-2017
43,204,OUT,BANGLADESH,TEST,"RAJIV GANDHI INTERNATIONAL CRICKET STADIUM, HYDERABAD",09-02-2017
44,111,NOT OUT,WEST INDIES,ODI,"SABINA PARK, KINGSTON",06-07-2017
45,103,NOT OUT,SRI LANKA,TEST,"GALLE INTERNATIONAL STADIUM, GALLE",26-07-2017
46,131,OUT,SRI LANKA,ODI,"R. PREMADASA STADIUM, COLOMBO",31-08-2017
47,110,NOT OUT,SRI LANKA,ODI,"R. PREMADASA STADIUM, COLOMBO",03-09-2017
48,121,OUT,NEW ZEALAND,ODI,"WANKHEDE STADIUM, MUMBAI",22-10-2017
49,113,OUT,NEW ZEALAND,ODI,"GREEN PARK STADIUM, KANPUR",29-10-2017
50,104,NOT OUT,SRI LANKA,TEST,"EDEN GARDENS, KOLKATA",16-11-2017
51,213,OUT,SRI LANKA,TEST,"VIDARBHA CRICKET ASSOCIATION STADIUM, NAGPUR",24-11-2017
52,243,OUT,SRI LANKA,TEST,"FEROZ SHAH KOTLA GROUND, DELHI",02-12-2017
53,153,OUT,SOUTH AFRICA,TEST,"SUPERSPORT PARK, CENTURION",13-01-2018
54,112,OUT,SOUTH AFRICA,ODI,"KINGSMEAD CRICKET GROUND, DURBAN",01-02-2018
55,160,NOT OUT,SOUTH AFRICA,ODI,"NEWLANDS CRICKET GROUND, CAPE TOWN",07-02-2018
56,129,NOT OUT,SOUTH AFRICA,ODI,"SUPERSPORT PARK, CENTURION",16-02-2018
57,149,OUT,ENGLAND,TEST,"EDGBASTON CRICKET GROUND, BIRMINGHAM",01-08-2018
58,103,OUT,ENGLAND,TEST,"TRENT BRIDGE, NOTTINGHAM",18-08-2018
59,139,OUT,WEST INDIES,TEST,"SAURASHTRA CRICKET ASSOCIATION STADIUM, RAJKOT",04-10-2018
60,140,OUT,WEST INDIES,ODI,"ACA STADIUM, GUWAHATI",21-10-2018
61,157,NOT OUT,WEST INDIES,ODI,"ACA-VDCA CRICKET STADIUM, VISAKHAPATNAM",24-10-2018
62,107,OUT,WEST INDIES,ODI,"MAHARASHTRA CRICKET ASSOCIATION STADIUM, PUNE",27-10-2018
63,123,OUT,AUSTRALIA,TEST,"PERTH STADIUM, PERTH",14-12-2018
64,104,OUT,AUSTRALIA,ODI,"ADELAIDE OVAL, ADELAIDE",15-01-2019
65,116,OUT,AUSTRALIA,ODI,"VIDARBHA CRICKET ASSOCIATION STADIUM, NAGPUR",05-03-2019
66,123,OUT,AUSTRALIA,ODI,"JSCA INTERNATIONAL STADIUM, RANCHI",08-03-2019
67,120,OUT,WEST INDIES,ODI,"QUEEN'S PARK OVAL, PORT OF SPAIN",11-08-2019
68,114,NOT OUT,WEST INDIES,ODI,"QUEEN'S PARK OVAL, PORT OF SPAIN",14-08-2019
69,254,NOT OUT,SOUTH AFRICA,TEST,"MAHARASHTRA CRICKET ASSOCIATION STADIUM, PUNE",10-10-2019
70,136,OUT,BANGLADESH,TEST,"EDEN GARDENS, KOLKATA",22-11-2019
71,122,NOT OUT,AFGHANISTAN,T20,"DUBAI INTERNATIONAL CRICKET STADIUM, DUBAI",08-09-2022
72,113,OUT,BANGLADESH,ODI,"ZAHUR AHMED CHOWDHURY STADIUM, CHATTOGRAM",10-12-2022
73,113,OUT,SRI LANKA,ODI,"BARSAPARA CRICKET STADIUM, GUWAHATI",10-01-2023
74,166,NOT OUT,SRI LANKA,ODI,"GREENFIELD INTERNATIONAL STADIUM, THIRUVANANTHAPURAM",15-01-2023
75,186,OUT,AUSTRALIA,TEST,"NARENDRA MODI STADIUM, AHMEDABAD",12-03-2023
76,121,OUT,WEST INDIES,TEST,"QUEEN'S PARK OVAL, PORT OF SPAIN, TRINIDAD",21-07-2023
77,122,NOT OUT,PAKISTAN,ODI,"R.PREMADASA STADIUM, KHETTARAMA, COLOMBO",11-09-2023
78,103,NOT OUT,BANGLADESH,ODI,"MAHARASHTRA CRICKET ASSOCIATION STADIUM, PUNE",19-10-2023
79,101,NOT OUT,SOUTH AFRICA,ODI,"EDEN GARDENS, KOLKATA",05-11-2023
80,117,NOT OUT,NEW ZEALAND,ODI,"WANKHEDE STADIUM, MUMBAI",15-11-2023
