MATCHES,DATE,Time(IST),VENUE
ENGLAND VS NEWZEALAND,"OCT 5, 2023, THURSDAY",2:00 PM,AHMEDABAD
PAKISTAN VS NETHERLANDS,"OCT 6, 2023, FRIDAY",2:00 PM,HYDERABAD
AFGHANISTAN VS BANGLADESH,"OCT 7, 2023, SATURDAY",10:30 AM,DHARAMSALA
SOUTHAFRICA VS SRILANKA,"OCT 7, 2023, SATURDAY",2:00 PM,DELHI
AUSTRALIA VS INDIA,"OCT 8, 2023, SUNDAY",2:00 PM,CHENNAI
NEWZEALAND VS NETHERLANDS,"OCT 9, 2023, MONDAY",2:00 PM,HYDERABAD
ENGLAND VS BANGLADESH,"OCT 10, 2023, TUESDAY",10:30 AM,DHARAMSALA
SRILANKA VS PAKISTAN,"OCT 10, 2023, TUESDAY",2:00 PM,HYDERABAD
AFGHANISTAN VS INDIA,"OCT 11, 2023, WEDNESDAY",2:00 PM,DELHI
SOUTHAFRICA VS AUSTRALIA,"OCT 12, 2023, THURSDAY",2:00 PM,LUCKNOW
BANGLADESH VS NEWZEALAND,"OCT 13, 2023, FRIDAY",2:00 PM,CHENNAI
PAKISTAN VS INDIA,"OCT 14, 2023, SATURDAY",2:00 PM,AHMEDABAD
AFGHANISTAN VS ENGLAND,"OCT 15, 2023, SUNDAY",2:00 PM,DELHI
SRILANKA VS AUSTRALIA,"OCT 16, 2023, MONDAY",2:00 PM,LUCKNOW
NETHERLANDS VS SOUTHAFRICA,"OCT 17, 2023, TUESDAY",2:00 PM,DHARAMSALA
NEWZEALAND VS AFGHANISTAN,"OCT 18, 2023, WEDNESDAY",2:00 PM,CHENNAI
INDIA VS BANGLADESH,"OCT 19, 2023, THURSDAY",2:00 PM,PUNE
AUSTRALIA VS PAKISTAN,"OCT 20, 2023, FRIDAY",2:00 PM,BENGALURU
NETHERLANDS VS SRILANKA,"OCT 21, 2023, SATURDAY",10:30 AM,LUCKNOW
ENGLAND VS SOUTHAFRICA,"OCT 21, 2023, SATURDAY",2:00 PM,MUMBAI
INDIA VS NEWZEALAND,"OCT 22, 2023, SUNDAY",2:00 PM,DHARAMSALA
PAKISTAN VS AFGHANISTAN,"OCT 23, 2023, MONDAY",2:00 PM,CHENNAI
SOUTHAFRICA VS BANGLADESH,"OCT 24, 2023, TUESDAY",2:00 PM,MUMBAI
AUSTRALIA VS NETHERLANDS,"OCT 25, 2023, WEDNESDAY",2:00 PM,DELHI
ENGLAND VS SRILANKA,"OCT 26, 2023, THURSDAY",2:00 PM,BENGALURU
PAKISTAN VS SOUTHAFRICA,"OCT 27, 2023, FRIDAY",2:00 PM,CHENNAI
AUSTRALIA VS NEWZEALAND,"OCT 28, 2023, SATURDAY",10:30 AM,DHARAMSALA
NETHERLANDS VS BANGLADESH,"OCT 28, 2023, SATURDAY",2:00 PM,KOLKATA
INDIA VS ENGLAND,"OCT 29, 2023, SUNDAY",2:00 PM,LUCKNOW
AFGHANISTAN VS SRILANKA,"OCT 30, 2023, MONDAY",2:00 PM,PUNE
PAKISTAN VS BANGLADESH,"OCT 31, 2023, TUESDAY",2:00 PM,KOLKATA
NEWZEALAND VS SOUTHAFRICA,"NOV 1, 2023, WEDNESDAY",2:00 PM,PUNE
INDIA VS SRILANKA,"NOV 2, 2023, THURSDAY",2:00 PM,MUMBAI
NETHERLANDS VS AFGHANISTAN,"NOV 3, 2023, FRIDAY",2:00 PM,LUCKNOW
NEWZEALAND VS PAKISTAN,"NOV 4, 2023, SATURDAY",10:30 AM,BENGALURU
ENGLAND VS AUSTRALIA,"NOV 4, 2023, SATURDAY",2:00 PM,AHMEDABAD
INDIA VS SOUTHAFRICA,"NOV 5, 2023, SUNDAY",2:00 PM,KOLKATA
BANGLADESH VS SRILANKA,"NOV 6, 2023, MONDAY",2:00 PM,DELHI
AUSTRALIA VS AFGHANISTAN,"NOV 7, 2023, TUESDAY",2:00 PM,MUMBAI
ENGLAND VS NETHERLANDS,"NOV 8, 2023, WEDNESDAY",2:00 PM,PUNE
NEWZEALAND VS SRILANKA,"NOV 9, 2023, THURSDAY",2:00 PM,BENGALURU
SOUTHAFRICA VS AFGHANISTAN,"NOV 10, 2023, FRIDAY",2:00 PM,AHMEDABAD
AUSTRALIA VS BANGLADESH,"NOV 11, 2023, SATURDAY",10:30 AM,PUNE
ENGLAND VS PAKISTAN,"NOV 11, 2023, SATURDAY",2:00 PM,KOLKATA
INDIA VS NETHERLANDS,"NOV 12, 2023, SUNDAY",2:00 PM,BENGALURU
