ID,Company Name,Revenue,Expenditure,Profit
1,Tech Innovations Inc.,523456.78,312345.67,211111.11
2,Green Energy Solutions,754321.45,612345.89,141975.56
3,HealthCare Plus,612345.12,459876.54,152468.58
4,Retail World Ltd.,834567.89,721234.56,113333.33
5,Finance Gurus LLC,912345.67,859876.54,52469.13
6,Aerospace Dynamics Corp.,1234567.89,987654.32,246913.57
7,Cyber Security Experts,789012.34,423456.78,365555.56
8,Eco-Friendly Products Co.,345678.90,289012.34,56666.56
9,BioTech Research Group,987654.32,765432.10,222222.22
10,Culinary Delights Inc.,456789.01,345678.90,111110.11
11,Sustainable Agriculture LLC,345678.90,245678.90,99999.00
12,Fashion Forward Ltd.,567890.12,467890.12,100000.00
13,Digital Marketing Pros Inc.,678901.23,578901.23,100000.00
14,E-commerce Ventures LLC,890123.45,675432.10,214691.35
15,Tourism Adventures Ltd.,456789.12,389012.34,67876.78
16,Mobility Solutions Corp.,789012.34,589012.34,200000.00
17,Clean Water Initiative Inc.,234567.89,198765.43,35802.46
18,Venture Capital Partners LLC,1122334.56,1012345.67,109988.89
19,Gaming Innovations Ltd.,876543.21,765432.10,111111.11
20,Cosmetic Creations Inc.,345678.90,298765.43,46813.47
21,Agricultural Supplies Co.,654321.09,543210.98,111110.11
22,Machinery Manufacturing Corp.,1456789.01,1234567.89,222221.12
23,CyberTech Solutions Ltd.,432109.87,321098.76,111011.11
24,Retail Innovations Group Inc.,7654321.00,6543210.00,1111111
25,Solar Energy Systems LLC.,1100000,9000000,200000
